,id,imdb_id,Title,genres,keywords,overview,director,actors
0,406563,tt5726086,Insidious: The Last Key,Horror Mystery Thriller,medium key hauntedhouse prequel spirit 1950s,Parapsychologist Elise Rainier and her team travel to Five Keys NM to investigate a man’s claim of a haunting Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home,AdamRobitel,LinShaye AngusSampson LeighWhannell
1,426258,tt6014904,The Strange Ones,Thriller Drama,siblingrelationship fire cave motel nightmare roadtrip remake woods womandirector,Mysterious events surround the travels of two brothers as they make their way across a remote American landscape On the surface all seems normal but what appears to be a simple vacation soon gives way to a dark and complex web of secrets This is the feature film version of the 2011 short film going by the same name,LaurenWolkstein,AlexPettyfer JamesFreedson-Jackson EmilyAlthaus
2,348389,tt3567666,Stratton,Action Thriller,basedonnovelorbook terrorist commando,A British Special Boat Service commando tracks down an international terrorist cell,SimonWest,DominicCooper AustinStowell GemmaChan
3,468210,tt6958212,Sweet Country,Western Crime Thriller Drama,rape slavery courtcase bible australia basedontruestory outbreak desert australianaboriginal 1920s abuseofpower australianwestern,In 1929 an Australian Aboriginal stockman kills a white station owner in self-defense and goes on the lam pursued by a posse,WarwickThornton,BryanBrown SamNeill
4,399035,tt1590193,The Commuter,Action Thriller Mystery,conspiracy train,A businessman on his daily commute home gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him,JaumeCollet-Serra,LiamNeeson VeraFarmiga PatrickWilson
5,442064,tt6421110,Proud Mary,Thriller Action Crime,hitman,Mary is a hit woman working for an organized crime family in Boston whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad,BabakNajafi,TarajiP.Henson BillyBrown DannyGlover
6,479040,tt6684714,Acts of Violence,Action Crime Thriller,post-traumaticstressdisorder kidnapping cleveland humantrafficking police stripper murder abduction,When his fiancee is kidnapped by human traffickers Roman and his ex-military brothers set out to track her down and save her before it is too late Along the way Roman teams up with Avery a cop investigating human trafficking and fighting the corrupt bureaucracy that has harmful intentions,BrettDonowho,BruceWillis ColeHauser ShawnAshmore
7,440424,tt5089534,Freak Show,Comedy Drama,transvestite highschool lgbt hatecrime womandirector homecomingqueen,The story of teenager Billy Bloom who despite attending an ultra conservative high school makes the decision to run for homecoming queen,TrudieStyler,AlexLawther AbigailBreslin BetteMidler
8,460216,tt5658242,Humor Me,Comedy,parentchildrelationship,With an interminable case of writer's block and a personal family crisis playwright Nate is forced to move into his father's retirement community,SamHoffman,JemaineClement ElliottGould IngridMichaelson
9,436355,tt4673790,Vazante,Drama,,Brazil 1821 Upon his return to the imposing farmhouse Antonio a rich cattle herder finds out that his wife dies in labor Forced to live in the property with numerous African slaves he marries his wife's niece A restless soul he returns to droving leaving his young wife behind alone with the slaves,DanielaThomas,AdrianoCarvalho LuanaNastas
